timestamp,domain,parameter,value_from,value_to,delta_J,cumulative_delta_J
2026-03-25 10:11:01,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.2252
2026-03-25 10:11:02,network,cluster.qos_normalised,0.5000,0.4900,-0.0025,-0.2277
2026-03-25 10:12:04,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.2327
2026-03-25 10:12:04,network,cluster.qos_normalised,0.5000,0.5500,-0.0028,-0.2355
2026-03-25 10:13:06,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.2405
2026-03-25 10:13:07,network,cluster.qos_normalised,0.5000,0.1100,-0.0006,-0.2411
2026-03-25 10:14:09,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.2461
2026-03-25 10:14:09,network,cluster.qos_normalised,0.5000,0.2900,-0.0014,-0.2475
2026-03-25 10:15:11,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.2525
2026-03-25 10:15:11,network,cluster.qos_normalised,0.5000,0.8500,-0.0042,-0.2567
2026-03-25 10:16:13,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.2617
2026-03-25 10:16:14,network,cluster.qos_normalised,0.5000,0.6100,-0.0030,-0.2647
2026-03-25 10:17:18,thermal,cluster.fan_speed_normalised,0.5000,0.8500,-0.0035,-0.2682
2026-03-25 10:17:18,network,cluster.qos_normalised,0.5000,0.8300,-0.0042,-0.2724
2026-03-25 10:18:20,thermal,cluster.fan_speed_normalised,0.5000,0.9200,-0.0042,-0.2766
2026-03-25 10:18:21,network,cluster.qos_normalised,0.5000,0.9700,-0.0048,-0.2814
2026-03-25 10:19:23,thermal,cluster.fan_speed_normalised,0.5000,0.8800,-0.0038,-0.2852
2026-03-25 10:19:23,network,cluster.qos_normalised,0.5000,0.9100,-0.0046,-0.2898
2026-03-25 10:20:25,thermal,cluster.fan_speed_normalised,0.5000,0.9800,-0.0048,-0.2946
2026-03-25 10:20:26,network,cluster.qos_normalised,0.5000,0.8500,-0.0043,-0.2989
2026-03-25 10:21:27,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.3039
2026-03-25 10:21:28,network,cluster.qos_normalised,0.5000,0.1900,-0.0010,-0.3049
2026-03-25 10:22:30,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.3099
2026-03-25 10:22:30,network,cluster.qos_normalised,0.5000,0.3200,-0.0016,-0.3115
2026-03-25 10:23:34,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.3165
2026-03-25 10:23:35,network,cluster.qos_normalised,0.5000,0.7100,-0.0036,-0.3201
2026-03-25 10:24:36,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.3251
2026-03-25 10:24:37,network,cluster.qos_normalised,0.5000,0.2500,-0.0013,-0.3264
2026-03-25 10:25:39,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.3314
2026-03-25 10:25:39,network,cluster.qos_normalised,0.5000,0.1200,-0.0006,-0.3320
2026-03-25 10:26:41,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.3370
2026-03-25 10:26:42,network,cluster.qos_normalised,0.5000,0.6700,-0.0033,-0.3403
2026-03-25 10:27:43,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.3453
2026-03-25 10:27:43,network,cluster.qos_normalised,0.5000,0.0100,-0.0000,-0.3453
2026-03-25 10:28:45,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.3503
2026-03-25 10:28:46,network,cluster.qos_normalised,0.5000,0.6100,-0.0031,-0.3534
2026-03-25 10:29:50,thermal,cluster.fan_speed_normalised,0.5000,0.8600,-0.0036,-0.3570
2026-03-25 10:29:50,network,cluster.qos_normalised,0.5000,1.0000,-0.0050,-0.3620
2026-03-25 10:30:53,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.3670
2026-03-25 10:30:53,network,cluster.qos_normalised,0.5000,0.6700,-0.0034,-0.3704
2026-03-25 10:31:54,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.3754
2026-03-25 10:31:55,network,cluster.qos_normalised,0.5000,0.0900,-0.0005,-0.3759
2026-03-25 10:32:57,thermal,cluster.fan_speed_normalised,0.5000,0.9400,-0.0044,-0.3803
2026-03-25 10:32:57,network,cluster.qos_normalised,0.5000,0.1300,-0.0006,-0.3809
2026-03-25 10:33:59,thermal,cluster.fan_speed_normalised,0.5000,0.9900,-0.0049,-0.3858
2026-03-25 10:34:00,network,cluster.qos_normalised,0.5000,0.7100,-0.0036,-0.3894
2026-03-25 10:35:01,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.3944
2026-03-25 10:35:01,network,cluster.qos_normalised,0.5000,0.1700,-0.0008,-0.3952
2026-03-25 10:36:06,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.4002
2026-03-25 10:36:06,network,cluster.qos_normalised,0.5000,1.0000,-0.0050,-0.4052
2026-03-25 10:37:08,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.4102
2026-03-25 10:37:09,network,cluster.qos_normalised,0.5000,0.3500,-0.0017,-0.4119
2026-03-25 10:38:11,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.4169
2026-03-25 10:38:11,network,cluster.qos_normalised,0.5000,0.7900,-0.0039,-0.4208
2026-03-25 10:39:13,thermal,cluster.fan_speed_normalised,0.5000,0.9600,-0.0046,-0.4254
2026-03-25 10:39:13,network,cluster.qos_normalised,0.5000,0.5900,-0.0029,-0.4283
2026-03-25 10:40:15,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.4333
2026-03-25 10:40:16,network,cluster.qos_normalised,0.5000,0.9600,-0.0048,-0.4381
2026-03-25 10:41:17,thermal,cluster.fan_speed_normalised,0.5000,0.9900,-0.0049,-0.4430
2026-03-25 10:41:18,network,cluster.qos_normalised,0.5000,0.6800,-0.0034,-0.4464
2026-03-25 10:42:21,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.4514
2026-03-25 10:42:21,network,cluster.qos_normalised,0.5000,0.3000,-0.0015,-0.4529
2026-03-25 10:43:22,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.4579
2026-03-25 10:43:23,network,cluster.qos_normalised,0.5000,0.6700,-0.0034,-0.4613
2026-03-25 10:44:24,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.4663
2026-03-25 10:44:24,network,cluster.qos_normalised,0.5000,0.4500,-0.0022,-0.4685
2026-03-25 10:45:26,thermal,cluster.fan_speed_normalised,0.5000,0.9700,-0.0047,-0.4732
